vru+line,call_id,customer_id,priority,type,date,vru_entry,vru_exit,vru_time,q_start,q_exit,q_time,outcome,ser_start,ser_exit,ser_time,server
AA0101,38291,30663462,2,PS,990408,36200,36205,5,36205,36410,205.0,AGENT,36410,37209,799,STEREN
AA0101,38292,78191137,2,PS,990408,36682,36688,6,36688,36700,12.0,AGENT,36699,37864,1165,ROTH
AA0101,38293,24954984,1,PS,990408,37079,37084,5,37084,37251,167.0,AGENT,37251,37703,452,STEREN
AA0101,38294,0,0,NW,990408,37629,37638,9,37638,37881,243.0,AGENT,37880,37938,58,ROTH
AA0101,38295,29537602,1,PS,990408,38058,38064,6,38064,38265,201.0,AGENT,38264,38362,98,YIFAT
AA0101,38296,68509728,2,PS,990408,38549,38554,5,38554,38564,10.0,AGENT,38563,38629,66,STEREN
AA0101,38297,6420236,2,PS,990408,38800,38805,5,38805,39127,322.0,AGENT,39126,39962,836,MORIAH
AA0101,38298,8258329,2,NE,990408,39403,39409,6,39409,39692,283.0,AGENT,39691,39948,257,KAZAV
AA0101,38299,0,0,NW,990408,39847,39856,9,39856,39881,25.0,HANG,0,0,0,NO_SERVER
AA0101,38300,41546904,2,PS,990408,39974,39980,6,39980,39997,17.0,HANG,0,0,0,NO_SERVER
AA0101,38301,41546904,2,PS,990408,40209,40214,5,40214,40226,12.0,HANG,0,0,0,NO_SERVER
AA0101,38302,33230111,2,PS,990408,40332,40337,5,40337,40558,221.0,HANG,0,0,0,NO_SERVER
AA0101,38303,31390545,1,PS,990408,40594,40600,6,40600,40629,29.0,HANG,0,0,0,NO_SERVER
AA0101,38304,59270009,2,PS,990408,40701,40707,6,40707,40754,47.0,HANG,0,0,0,NO_SERVER
AA0101,38305,58704610,2,PS,990408,40877,40882,5,40882,41028,146.0,AGENT,41027,41388,361,STEREN
AA0101,38306,42549683,2,PS,990408,41213,41218,5,41218,41227,9.0,HANG,0,0,0,NO_SERVER
AA0101,38307,34216010,1,PS,990408,41325,41330,5,41330,41548,218.0,AGENT,41547,41585,38,TOVA
AA0101,38308,24393902,2,PS,990408,41628,41633,5,41633,41644,11.0,AGENT,41643,41647,4,MORIAH
AA0101,38309,3374691,2,PS,990408,41761,41766,5,41766,41961,195.0,AGENT,41961,42023,62,TOVA
AA0101,38310,59618835,1,PS,990408,42131,42137,6,42137,42446,309.0,AGENT,42446,42449,3,TOVA
AA0101,38311,68119767,2,PS,990408,42605,42610,5,42610,42674,64.0,AGENT,42673,43159,486,TOVA
AA0101,38312,55343784,2,PS,990408,42876,42881,5,42881,43186,305.0,HANG,0,0,0,NO_SERVER
AA0101,38313,50888668,1,PS,990408,43250,43256,6,43256,43494,238.0,AGENT,43491,44759,1268,KAZAV
AA0101,38315,0,0,NW,990408,44589,44598,9,44598,44613,15.0,HANG,0,0,0,NO_SERVER
AA0101,38317,15239874,2,PS,990408,45212,45218,6,45218,45284,66.0,AGENT,45283,45377,94,DARMON
AA0101,38320,54128681,2,PS,990408,45734,45739,5,45739,45950,211.0,HANG,0,0,0,NO_SERVER
AA0101,38321,41435991,2,PS,990408,46085,46090,5,46090,46345,255.0,AGENT,46345,47205,860,STEREN
AA0101,38322,51964856,2,PS,990408,46530,46535,5,46535,46794,259.0,AGENT,46792,46882,90,MORIAH
AA0101,38650,32063703,1,PS,990415,41652,41658,6,41658,41986,328.0,HANG,41987,42001,14,NO_SERVER
AA0101,38651,56733876,2,PS,990415,42707,42713,6,42713,42883,170.0,AGENT,42882,43549,667,ROTH
AA0101,38652,312822711,1,PS,990415,43597,43602,5,43602,43643,41.0,AGENT,43643,43652,9,STEREN
AA0101,38653,57831356,2,NE,990415,44429,44435,6,44435,44450,15.0,AGENT,44449,44577,128,ELI
AA0101,38654,302424502,1,PE,990415,45207,45212,5,45212,45373,161.0,AGENT,45372,45779,407,MIKI
AA0101,38792,45447547,2,NE,990419,36518,36524,6,36524,36580,56.0,AGENT,36580,37127,547,ZOHARI
AA0101,38795,56078892,2,PS,990419,38006,37952,-54,37952,38064,112.0,AGENT,38063,38775,712,ROTH
AA0101,38796,551507,2,PS,990419,38680,38686,6,38686,38721,35.0,AGENT,38720,39104,384,DORIT
AA0101,38797,7191646,2,NE,990419,39153,39158,5,39158,39411,253.0,AGENT,39410,40054,644,ZOHARI
AA0101,38798,56183882,1,PS,990419,39926,39932,6,39932,40044,112.0,AGENT,40044,40203,159,STEREN
AA0101,39036,45447547,2,PS,990426,36526,36531,5,36531,36617,86.0,AGENT,36590,36879,289,ZOHARI
AA0101,39037,57425118,2,NE,990426,37303,37308,5,37308,37388,80.0,AGENT,37388,37446,58,GILI
AA0101,39038,0,0,NW,990426,37988,37997,9,37997,38048,51.0,AGENT,38047,38103,56,YIFAT
AA0101,39039,176156,2,PS,990426,38718,38724,6,38724,38888,164.0,AGENT,38887,39085,198,YIFAT
AA0101,39041,3171675,2,PS,990426,40226,40231,5,40231,40284,53.0,AGENT,40282,40435,153,AVNI
AA0101,39042,23895501,2,PS,990426,40585,40590,5,40590,40606,16.0,HANG,0,0,0,NO_SERVER
AA0101,39048,4312914,2,PS,990426,44771,44776,5,44776,44853,77.0,AGENT,44853,44913,60,YIFAT
AA0101,39085,0,0,NW,990427,40094,40104,10,40104,40111,7.0,HANG,0,0,0,NO_SERVER
AA0101,39087,52146842,2,PS,990427,41306,41312,6,41312,41319,7.0,AGENT,41318,41454,136,AVI
AA0101,39088,24004889,2,PS,990427,41921,41927,6,41927,41939,12.0,AGENT,41938,42025,87,DARMON
AA0101,39090,58704610,2,PS,990427,43303,43309,6,43309,43410,101.0,HANG,0,0,0,NO_SERVER
AA0101,39091,31799802,2,PS,990427,44161,44166,5,44166,44226,60.0,HANG,0,0,0,NO_SERVER
AA0101,39092,0,0,NW,990427,44526,44536,10,44536,44860,324.0,AGENT,44846,45361,515,STEREN
AA0101,39093,58704610,2,PS,990427,45339,45344,5,45344,45485,141.0,AGENT,45485,45809,324,AVNI
AA0101,39095,69434421,1,PS,990427,46572,46580,8,46580,46699,119.0,AGENT,46580,46764,184,ROTH
AA0101,39145,27244995,2,PS,990428,36004,36010,6,36010,36064,54.0,AGENT,0,0,0,KAZAV
AA0101,39146,45447547,2,PS,990428,36603,36608,5,36608,36710,102.0,AGENT,36710,36710,0,MIKI
AA0101,39147,28625531,2,PS,990428,37005,37010,5,37010,37307,297.0,AGENT,37306,37418,112,ZOHARI
AA0101,39149,57267403,1,PS,990428,38222,38227,5,38227,38306,79.0,HANG,0,0,0,NO_SERVER
AA0101,39150,55041289,2,PS,990428,38667,38673,6,38673,38795,122.0,HANG,0,0,0,NO_SERVER
AA0101,39151,0,0,NW,990428,39213,39222,9,39222,39246,24.0,HANG,0,0,0,NO_SERVER
AA0101,39152,12543039,1,PS,990428,39643,39649,6,39649,39685,36.0,HANG,0,0,0,NO_SERVER
AA0101,39155,64185333,2,NE,990428,40655,40661,6,40661,41041,380.0,AGENT,41040,41082,42,KAZAV
AA0101,39156,0,0,NW,990428,41495,41504,9,41504,42052,548.0,HANG,0,0,0,NO_SERVER
AA0102,33833,42477224,2,PS,990408,36306,36312,6,36312,36434,122.0,AGENT,36434,36636,202,KAZAV
AA0102,33834,0,0,NW,990408,36760,36770,10,36770,36875,105.0,HANG,0,0,0,NO_SERVER
AA0102,33835,55653984,1,PS,990408,37135,37140,5,37140,37556,416.0,AGENT,37556,37735,179,DARMON
AA0102,33836,60280260,2,NE,990408,37724,37730,6,37730,37905,175.0,AGENT,37905,37977,72,KAZAV
AA0102,33837,22792907,1,PS,990408,38072,38078,6,38078,38173,95.0,HANG,0,0,0,NO_SERVER
AA0102,33838,3519998,2,PS,990408,38362,38367,5,38367,38381,14.0,AGENT,38381,38616,235,ROTH
AA0102,33839,22434179,1,PS,990408,38626,38631,5,38631,38985,354.0,AGENT,38970,39064,94,TOVA
AA0102,33840,59885426,1,PS,990408,39218,39223,5,39223,39281,58.0,HANG,0,0,0,NO_SERVER
AA0102,33841,33462896,1,PS,990408,39433,39438,5,39438,39581,143.0,HANG,0,0,0,NO_SERVER
AA0102,33842,52031556,2,PS,990408,39800,39806,6,39806,40001,195.0,AGENT,40000,40543,543,TOVA
AA0102,33843,0,0,NW,990408,40209,40219,10,40219,40228,9.0,HANG,0,0,0,NO_SERVER
AA0102,33844,1100718,2,PS,990408,40349,40355,6,40355,40682,327.0,AGENT,40680,40708,28,KAZAV
AA0102,33845,57909459,2,PS,990408,40771,40776,5,40776,40942,166.0,AGENT,40941,41159,218,DARMON
AA0102,33846,25124181,2,NE,990408,41047,41052,5,41052,41401,349.0,AGENT,41401,41616,215,KAZAV
AA0102,33847,42943100,2,PS,990408,41464,41470,6,41470,41591,121.0,AGENT,41589,41597,8,TOVA
AA0102,33848,57972531,1,PS,990408,41704,41710,6,41710,41717,7.0,AGENT,41715,41956,241,TOVA
AA0102,33849,51898575,1,PS,990408,41828,41833,5,41833,41892,59.0,HANG,0,0,0,NO_SERVER
AA0102,33851,27708783,2,PS,990408,42305,42311,6,42311,42313,2.0,HANG,0,0,0,NO_SERVER
AA0102,33852,60280260,2,NE,990408,42480,42486,6,42486,42558,72.0,AGENT,42556,42559,3,MORIAH
AA0102,33853,57098204,1,PS,990408,42685,42690,5,42690,43164,474.0,AGENT,43164,43262,98,TOVA
AA0102,33854,67472894,2,PS,990408,43222,43227,5,43227,43238,11.0,HANG,0,0,0,NO_SERVER
AA0102,33855,25225244,2,PS,990408,43280,43285,5,43285,43343,58.0,HANG,0,0,0,NO_SERVER
AA0102,33856,78191137,2,PS,990408,43394,43400,6,43400,43464,64.0,HANG,0,0,0,NO_SERVER
AA0102,33857,0,0,PS,990408,44431,44457,26,44457,44734,277.0,HANG,0,0,0,NO_SERVER
AA0102,33859,78191137,2,PS,990408,45218,45224,6,45224,45314,90.0,AGENT,45313,45316,3,MORIAH
AA0102,33860,59700823,1,NE,990408,45370,45376,6,45376,45485,109.0,AGENT,45484,45489,5,KAZAV
AA0102,33861,0,0,NE,990408,45562,45572,10,45572,45664,92.0,HANG,0,0,0,NO_SERVER
AA0102,33862,4359329,2,PS,990408,45867,45873,6,45873,46103,230.0,AGENT,46102,46330,228,TOVA
AA0102,33864,313966145,2,PS,990408,46534,46540,6,46540,46659,119.0,HANG,0,0,0,NO_SERVER
AA0102,33865,27422468,1,PS,990408,46716,46723,7,46723,46737,14.0,HANG,0,0,0,NO_SERVER
AA0102,34186,10587137,2,NE,990415,41659,41665,6,41665,41850,185.0,AGENT,41849,41896,47,SHARON
AA0102,34187,48296115,2,PS,990415,42715,42721,6,42721,42969,248.0,AGENT,42967,43335,368,MIKI
AA0102,34188,57308355,2,PS,990415,43651,43657,6,43657,43664,7.0,AGENT,43663,44075,412,MIKI
AA0102,34189,54665682,2,PS,990415,44514,44520,6,44520,44640,120.0,AGENT,44639,45142,503,MORIAH
AA0102,34190,57433542,1,PS,990415,45271,45277,6,45277,45457,180.0,AGENT,45456,45708,252,KAZAV
AA0102,34336,25015926,1,PS,990419,36586,36591,5,36591,36819,228.0,AGENT,36818,37124,306,KAZAV
AA0102,34337,54665682,2,PS,990419,37501,37506,5,37506,37653,147.0,AGENT,37652,38097,445,STEREN
AA0102,34338,25280918,2,PS,990419,38136,38142,6,38142,38161,19.0,AGENT,38161,38442,281,YIFAT
AA0102,34339,45447547,2,NE,990419,38895,38901,6,38901,39186,285.0,HANG,0,0,0,NO_SERVER
AA0102,34340,0,0,NW,990419,39655,39664,9,39664,39687,23.0,HANG,0,0,0,NO_SERVER
AA0102,34341,22010698,1,PS,990419,40331,40337,6,40337,40352,15.0,AGENT,40351,40416,65,YITZ
AA0102,34575,50347749,2,NE,990426,37177,37183,6,37183,37188,5.0,AGENT,37187,37383,196,GILI
AA0102,34576,51237980,2,PS,990426,37719,37724,5,37724,37756,32.0,AGENT,37755,37881,126,IDIT
AA0102,34577,57831356,2,NE,990426,38351,38356,5,38356,38375,19.0,AGENT,38374,38519,145,ZOHARI
AA0102,34578,24291445,2,PS,990426,39031,39036,5,39036,39090,54.0,AGENT,39089,39412,323,YIFAT
